id,enquiry_id,data,invoice_type,use_editage_card,editage_card_id,currency_code,premium,billing_unit_count,rate,discount,tax,gross_price,net_price,price_after_tax,client_invoice_frequency,status,invoice_id,created_by,created_date,last_modified_by,last_modified_date,payment_admin_eos_id,editage_card_status,component_id,eos_users,sent_to_client_date,active,converted_amount,converted_currency
2679289,2447053,,1245,,,JPY,,13124,5.0000,,6562.0000,65620.0000,65620.0000,72182.0000,job,quote-accepted,1025881,181007,2019-12-01 00:34:59.000000,515561,2019-12-05 16:55:46.000000,,,2642444,,2019-12-05 16:55:46,true,,
2679290,2447054,,1269,,,USD,,4000,0.0770,,0.0000,308.0000,308.0000,308.0000,monthly,quote-accepted,1041809,125286,2019-12-01 01:00:02.000000,720,2019-12-20 13:07:12.000000,,,2642445,,2019-12-20 13:07:12,true,,
2679292,2447055,,1261,,,JPY,,3989,13.0000,,2074.0000,51857.0000,20743.0000,22817.0000,job,quote-accepted,1024687,325984,2019-12-01 01:08:50.000000,441305,2019-12-03 19:34:53.000000,,,2642447,,2019-12-03 19:34:53,true,,
2679295,2447058,,1279,true,1323,KRW,,793,60.0000,,4377.0000,47580.0000,43774.0000,48151.0000,job,quote-accepted,1025963,84708,2019-12-01 01:37:35.000000,515561,2019-12-05 19:02:30.000000,,blocked,2642450,,2019-12-05 19:02:30,true,,
2679298,2447061,,1269,,,USD,,1495,0.0770,,0.0000,115.1100,115.1100,115.1100,monthly,quote-accepted,1041809,125286,2019-12-01 02:18:02.000000,489307,2019-12-04 06:36:36.000000,,,2642453,,2019-12-04 06:36:36,true,,
2679299,2447062,,1245,,,JPY,,460,6.0000,,368.0000,2760.0000,3680.0000,4048.0000,job,quote-accepted,1024026,116885,2019-12-01 02:28:20.000000,343019,2019-12-02 23:36:27.000000,,,2642454,,2019-12-02 23:36:27,true,,
2679301,2447064,,1256,,,USD,,1,30.6900,,0.0000,30.6900,30.6900,30.6900,job,quote-accepted,1026821,446087,2019-12-01 02:33:24.000000,443799,2019-12-07 09:27:05.000000,,,2642456,,2019-12-07 09:27:05,true,,
2679303,2447066,,1251,,,JPY,,6238,5.5000,,3430.0000,34309.0000,34309.0000,37739.0000,job,quote-accepted,1026159,13103,2019-12-01 02:59:06.000000,675096,2019-12-06 09:43:10.000000,,,2642458,,2019-12-06 09:43:10,true,,
2679304,2447067,"{""job_confirmation"": {""amount"": 664, ""currency"": ""USD""}}",92196,,,USD,,1,664.0000,,0.0000,664.0000,664.0000,664.0000,job,quote-accepted,1027464,753815,2019-12-01 03:03:27.000000,543190,2019-12-09 11:02:03.000000,,,2642459,,2019-12-09 11:02:02,true,,
2679312,2447075,,1245,,,JPY,,750,18.0000,1260.0000,1215.0000,13500.0000,12150.0000,13365.0000,job,quote-accepted,1023930,154996,2019-12-01 03:53:22.000000,602008,2019-12-02 17:31:42.000000,,,2642467,,2019-12-02 17:31:42,true,,
2679314,2447077,,1269,,,USD,,6600,0.0770,,0.0000,508.2000,508.2000,508.2000,monthly,quote-accepted,1041809,125286,2019-12-01 04:12:05.000000,287615,2019-12-05 19:09:38.000000,,,2642469,,2019-12-05 19:09:38,true,,
2679315,2447078,,1279,,,KRW,,91,60.0000,,728.0000,5460.0000,7280.0000,8008.0000,job,quote-accepted,1025761,753826,2019-12-01 04:12:55.000000,637550,2019-12-05 14:13:04.000000,,,2642470,,2019-12-05 14:13:03,true,,
2679316,2447079,,1288,,,BRL,,654,0.1000,,0.0000,65.4000,26.1600,26.1600,job,quote-accepted,1024089,596622,2019-12-01 04:27:52.000000,215363,2019-12-03 08:06:44.000000,,,2642471,,2019-12-03 08:06:44,true,,
2679322,2447083,,1245,,,JPY,,3609,6.0000,,2165.0000,21654.0000,21654.0000,23819.0000,job,quote-accepted,1025878,630489,2019-12-01 04:44:23.000000,678978,2019-12-05 16:52:33.000000,,,2642477,,2019-12-05 16:52:32,true,,
2679326,2447087,,1290,false,4871,CNY,,4459,0.7550,,201.9900,3366.5400,3366.5400,3568.5300,job,quote-accepted,1024916,223885,2019-12-01 05:27:17.000000,675096,2019-12-04 11:03:15.000000,,created,2642481,,2019-12-04 11:03:15,true,,
2679327,2447088,,1261,,,JPY,,45,6.0000,,10.0000,270.0000,108.0000,118.0000,job,quote-accepted,1024591,241342,2019-12-01 05:45:42.000000,370619,2019-12-03 17:44:50.000000,,,2642482,,2019-12-03 17:44:50,true,,
2679328,2447089,,1245,,,JPY,,1529,13.0000,,2614.0000,19877.0000,26146.0000,28760.0000,job,quote-accepted,1024671,753834,2019-12-01 05:46:17.000000,417510,2019-12-03 19:17:31.000000,,,2642483,,2019-12-03 19:17:31,true,,
2679330,2447091,,1245,,,JPY,,2250,8.0000,,1800.0000,18000.0000,18000.0000,19800.0000,job,quote-accepted,1024578,753836,2019-12-01 05:58:26.000000,349683,2019-12-03 17:30:52.000000,,,2642485,,2019-12-03 17:30:51,true,,
2679331,2447092,,1269,,,USD,,9481,0.0260,,0.0000,246.5000,246.5000,246.5000,monthly,quote-accepted,1041809,125286,2019-12-01 06:00:14.000000,513652,2019-12-10 18:23:22.000000,,,2642486,,2019-12-10 18:23:22,true,,
