id,enquiry_id,data,invoice_type,use_editage_card,editage_card_id,currency_code,premium,billing_unit_count,rate,discount,tax,gross_price,net_price,price_after_tax,client_invoice_frequency,status,invoice_id,created_by,created_date,last_modified_by,last_modified_date,payment_admin_eos_id,editage_card_status,component_id,eos_users,sent_to_client_date,active,converted_amount,converted_currency
2811655,2570331,,1287,,,BRL,,3665,0.1700,186.9100,0.0000,623.0500,436.1400,436.1400,job,quote-accepted,1061144,569933,2020-02-01 00:10:29.000000,616800,2020-02-05 07:26:12.000000,,,2772594,,2020-02-05 07:26:12,true,,
2811656,2570332,"{""job_confirmation"": {""amount"": 774.3799999999999954525264911353588104248046875, ""currency"": ""USD""}, ""invoice_generation"": {""amount"": 774.3799999999999954525264911353588104248046875, ""currency"": ""USD""}}",1256,,,USD,,3719,0.2000,,0.0000,743.8000,774.3800,774.3800,job,quote-accepted,1068380,801362,2020-02-01 00:14:37.000000,801362,2020-02-18 13:29:05.000000,,,2772595,,2020-02-17 12:47:55,true,,
2811657,2570333,"{""job_confirmation"": {""amount"": 764.80999999999994543031789362430572509765625, ""currency"": ""USD""}}",61593,,,USD,,6218,0.1230,,0.0000,764.8100,764.8100,764.8100,job,quote-accepted,1061118,573078,2020-02-01 00:21:16.000000,201972,2020-02-05 03:40:40.000000,,,2772596,,2020-02-05 03:40:40,true,764.81,USD
2811660,2570335,,1286,,,BRL,,1258,0.1200,,0.0000,150.9600,150.9600,150.9600,monthly,quote-accepted,1077320,17217,2020-02-01 00:34:29.000000,677084,2020-02-05 17:50:43.000000,,,2772599,,2020-02-05 17:50:43,true,,
2811661,2570336,"{""job_confirmation"": {""amount"": 107.6099999999999994315658113919198513031005859375, ""currency"": ""USD""}}",1269,,,USD,,4139,0.0260,,0.0000,107.6100,107.6100,107.6100,monthly,quote-accepted,1077192,125286,2020-02-01 00:36:03.000000,653151,2020-02-06 19:03:49.000000,,,2772600,,2020-02-06 19:03:49,true,,
2811663,2570338,,1287,,,BRL,,4040,0.2500,,0.0000,1010.0000,1010.0000,1010.0000,job,quote-accepted,1060619,801364,2020-02-01 00:37:00.000000,762516,2020-02-04 11:48:43.000000,,,2772602,,2020-02-04 11:48:43,true,,
2811664,2570339,,1245,,,JPY,,2920,18.0000,,5256.0000,52560.0000,52560.0000,57816.0000,job,quote-accepted,1060208,245880,2020-02-01 00:37:58.000000,675264,2020-02-03 16:17:19.000000,,,2772603,,2020-02-03 16:17:19,true,,
2811665,2570340,,1287,,,BRL,,3011,0.1300,,0.0000,391.4300,391.4300,391.4300,job,quote-accepted,1061868,305191,2020-02-01 00:40:20.000000,675096,2020-02-06 07:50:03.000000,,,2772604,,2020-02-06 07:50:03,true,,
2811667,2570342,,13517,,,USD,,4420,0.1000,,0.0000,442.0000,397.8000,397.8000,job,quote-accepted,1062359,273066,2020-02-01 00:41:52.000000,172183,2020-02-06 17:02:04.000000,,,2772606,,2020-02-06 17:02:04,true,,
2811670,2570344,,1280,false,4808,KRW,,200,120.0000,,960.0000,24000.0000,9600.0000,10560.0000,job,quote-accepted,1059759,296219,2020-02-01 00:57:17.000000,603132,2020-02-03 04:35:21.000000,,,2772609,,2020-02-03 04:35:21,true,,
