id,enquiry_id,data,invoice_type,use_editage_card,editage_card_id,currency_code,premium,billing_unit_count,rate,discount,tax,gross_price,net_price,price_after_tax,client_invoice_frequency,status,invoice_id,created_by,created_date,last_modified_by,last_modified_date,payment_admin_eos_id,editage_card_status,component_id,eos_users,sent_to_client_date,active,converted_amount,converted_currency
2740792,2504070,,1287,,,BRL,,7219,0.1300,,0.0000,938.4700,938.4700,938.4700,job,quote-accepted,1044167,352819,2020-01-01 00:06:42.000000,642463,2020-01-08 06:39:23.000000,,,2702836,,2020-01-08 06:39:23,true,,
2740793,2504071,,1269,,,USD,,1,239.0000,,0.0000,239.0000,239.0000,239.0000,monthly,quote-accepted,1059445,125286,2020-01-01 00:10:04.000000,541591,2020-01-02 04:03:30.000000,,,2702837,,2020-01-02 04:03:29,true,,
2740794,2504072,,1269,,,USD,,5869,0.0260,,0.0000,152.5900,152.5900,152.5900,monthly,quote-accepted,1059445,125286,2020-01-01 00:16:07.000000,315042,2020-01-06 15:27:34.000000,,,2702838,,2020-01-06 15:27:34,true,,
2740795,2504073,,1245,,,JPY,,10696,11.0000,,9530.0000,117656.0000,95302.0000,104832.0000,job,quote-accepted,1042757,96967,2020-01-01 00:16:23.000000,484434,2020-01-04 19:16:11.000000,,,2702839,,2020-01-04 19:16:11,true,,
2740800,2504078,,1261,,,JPY,,991,28.0000,,5209.0000,27748.0000,52094.0000,57303.0000,job,quote-accepted,1041535,630651,2020-01-01 00:37:29.000000,244608,2020-01-02 12:01:05.000000,,,2702844,,2020-01-02 12:01:05,true,,
2740801,2504079,,1269,,,USD,,3016,0.0000,,0.0000,0.0000,0.0000,0.0000,monthly,quote-accepted,1059445,125286,2020-01-01 01:42:03.000000,288718,2020-01-03 11:56:34.000000,,,2702845,,2020-01-03 11:56:34,true,,
2740803,2504080,,1245,,,JPY,,16809,8.0000,,16809.0000,134472.0000,168090.0000,184899.0000,job,quote-accepted,1042692,113185,2020-01-01 02:03:47.000000,596543,2020-01-04 15:53:51.000000,,,2702847,,2020-01-04 15:53:50,true,,
2740804,2504081,,1256,true,2086,USD,,675,0.0900,,0.0000,60.7500,60.7500,60.7500,job,quote-accepted,1041870,21011,2020-01-01 02:32:19.000000,443799,2020-01-02 18:58:40.000000,,created,2702848,,2020-01-02 18:58:40,true,,
2740805,2504082,,13517,,,USD,,2973,0.1210,,0.0000,359.7300,359.7300,359.7300,job,quote-accepted,1041405,767838,2020-01-01 02:36:43.000000,520639,2020-01-02 07:58:58.000000,,,2702849,,2020-01-02 07:58:58,true,,
2740808,2504085,,1245,,,JPY,,1197,12.0000,,1436.0000,14364.0000,14364.0000,15800.0000,job,quote-accepted,1041337,203821,2020-01-01 03:18:11.000000,246591,2020-01-01 21:22:37.000000,,,2702852,,2020-01-01 21:22:37,true,,
2740817,2504094,,1245,,,JPY,,365,6.0000,,219.0000,2190.0000,2190.0000,2409.0000,job,quote-accepted,1041702,357091,2020-01-01 03:39:06.000000,670418,2020-01-02 15:35:13.000000,,,2702861,,2020-01-02 15:35:13,true,,
2740826,2504103,,1261,,,JPY,,1550,12.0000,,2790.0000,18600.0000,27900.0000,30690.0000,job,quote-accepted,1042758,751668,2020-01-01 03:49:22.000000,479339,2020-01-04 19:16:13.000000,,,2702870,,2020-01-04 19:16:13,true,,
2740830,2504106,,13517,,,USD,,6592,0.1000,,0.0000,659.2000,659.2000,659.2000,job,quote-accepted,1043617,23461,2020-01-01 04:23:33.000000,215363,2020-01-07 10:46:39.000000,,,2702874,,2020-01-07 10:46:38,true,,
